,0
im,470.4788431348684
like,319.53973059514004
dont,276.6001344774658
oh,236.23799917674143
just,226.8779863341218
cyan,191.50049157217492
yeah,188.0461501471489
ok,168.29846973190263
white,160.45848086995417
know,156.4579415053322
hi,155.87360662211796
batman,153.98276947823504
yellow,153.39161682753058
green,152.55649848870465
red,150.18622728482907
water,146.12192380428775
want,140.5898395485349
coral,139.38768618754762
thats,132.5235317668513
lol,130.3891932567308
yes,130.04732824541134
idk,127.12547670964777
good,126.61655036923784
bro,125.28913313425292
blue,124.56248561094992
love,123.79436801424573
feel,113.89149458641451
think,112.59792265882623
purple,112.33938237315375
people,106.8488469288808
sorry,103.67583457930013
did,101.78883506440714
lmao,100.94900056865217
man,99.30901551165451
sleep,99.22328129994762
shit,98.92652113590366
bye,94.2641121808058
fuck,92.18154611133744
really,90.05620819098402
guys,87.84120261365582
okay,87.35419592605872
need,82.91576571918866
fucking,81.71364352852784
ur,81.19863610917609
hate,80.77364799122142
wait,79.10776669250265
got,78.82073749302964
ill,76.86578814799363
life,76.85352434226405
time,70.97860275907018
say,70.70755484927521
wanna,70.10186192007349
real,67.90046107930021
dante,67.58139687202247
said,66.47743093612344
gonna,64.9097000644511
tell,64.61595107509966
wtf,63.5047224996446
rat,63.13954237477928
whats,63.138039519912944
bad,62.76417847646816
yall,61.918246176147996
mean,59.88456199960848
damn,58.947501383232655
going,58.14369342312313
hello,57.79490304023497
fr,57.50387885905804
make,57.0239446890152
sad,56.34260854323316
better,55.740991721855345
huh,55.21181357821406
leave,54.7362082158961
right,54.372475744279996
ive,53.779847508833896
dude,53.51582777703932
hope,53.15128365678079
youre,52.82611002629636
omg,51.802236108705856
wsp,51.163619035769315
maybe,50.819389528440674
help,50.455147739828064
ik,50.38544567123003
nice,49.875059850531585
friends,49.635850250524896
does,48.79882972765802
color,47.75627132520209
way,47.74928915929793
actually,47.49859460891898
rn,46.85719476447932
didnt,46.56615003802168
cool,46.26531061438585
talk,46.24897517069099
thanks,45.606227316765946
come,44.84201156532122
old,44.60085316702458
day,44.58135180506189
wish,44.12941548433459
live,44.04037699613327
talking,43.987240617941346
happy,43.36793513576302
god,42.502708016305114
nah,42.24852855090931
hard,40.506787183793946
things,40.08282529184154
person,39.87085202303303
sure,39.78029858473126
ppl,39.665903443892965
hey,39.28367368913954
miss,39.118709989874404
crazy,38.77981276554183
doesnt,38.773250635232856
